vhigh,vhigh,2,2,small,low,tbd
vhigh,vhigh,2,2,small,med,tbd
vhigh,vhigh,2,2,small,high,tbd
vhigh,vhigh,2,2,med,low,tbd
vhigh,vhigh,2,2,med,med,tbd
vhigh,vhigh,2,2,med,high,tbd
vhigh,vhigh,2,2,big,low,tbd
vhigh,vhigh,2,2,big,med,tbd
vhigh,vhigh,2,2,big,high,tbd
vhigh,vhigh,2,4,small,low,tbd
vhigh,vhigh,2,4,small,med,tbd
vhigh,vhigh,2,4,small,high,tbd
vhigh,vhigh,2,4,med,low,tbd
vhigh,vhigh,2,4,med,med,tbd
vhigh,vhigh,2,4,med,high,tbd
vhigh,vhigh,2,4,big,low,tbd
vhigh,vhigh,2,4,big,med,tbd
vhigh,vhigh,2,4,big,high,tbd
vhigh,vhigh,2,more,small,low,tbd
vhigh,vhigh,2,more,small,med,tbd
vhigh,vhigh,2,more,small,high,tbd
vhigh,vhigh,2,more,med,low,tbd
vhigh,vhigh,2,more,med,med,tbd
vhigh,vhigh,2,more,med,high,tbd
vhigh,vhigh,2,more,big,low,tbd
vhigh,vhigh,2,more,big,med,tbd
vhigh,vhigh,2,more,big,high,tbd
vhigh,vhigh,3,2,small,low,tbd
vhigh,vhigh,3,2,small,med,tbd
vhigh,vhigh,3,2,small,high,tbd
vhigh,vhigh,3,2,med,low,tbd
vhigh,vhigh,3,2,med,med,tbd
vhigh,vhigh,3,2,med,high,tbd
vhigh,vhigh,3,2,big,low,tbd
vhigh,vhigh,3,2,big,med,tbd
vhigh,vhigh,3,2,big,high,tbd
vhigh,vhigh,3,4,small,low,tbd
vhigh,vhigh,3,4,small,med,tbd
vhigh,vhigh,3,4,small,high,tbd
vhigh,vhigh,3,4,med,low,tbd
vhigh,vhigh,3,4,med,med,tbd
vhigh,vhigh,3,4,med,high,tbd
vhigh,vhigh,3,4,big,low,tbd
vhigh,vhigh,3,4,big,med,tbd
vhigh,vhigh,3,4,big,high,tbd
vhigh,vhigh,3,more,small,low,tbd
vhigh,vhigh,3,more,small,med,tbd
vhigh,vhigh,3,more,small,high,tbd
vhigh,vhigh,3,more,med,low,tbd
vhigh,vhigh,3,more,med,med,tbd
vhigh,vhigh,3,more,med,high,tbd
vhigh,vhigh,3,more,big,low,tbd
vhigh,vhigh,3,more,big,med,tbd
vhigh,vhigh,3,more,big,high,tbd
vhigh,vhigh,4,2,small,low,tbd
vhigh,vhigh,4,2,small,med,tbd
vhigh,vhigh,4,2,small,high,tbd
vhigh,vhigh,4,2,med,low,tbd
vhigh,vhigh,4,2,med,med,tbd
vhigh,vhigh,4,2,med,high,tbd
